EOTV.ElapsedDays,EOTV.ElapsedSecs,EOTV.RAPTank1.FuelMass,REV,AOL,EOTV.EarthMJ2000Eq.AOP,EOTV.Earth.SMA,EOTV.EarthMJ2000Eq.RAAN,EOTV.Earth.ECC,EOTV.EarthMJ2000Eq.INC,EOTV.Earth.OrbitPeriod,EOTV.HET1.ThrustDirection1,EOTV.HET1.ThrustDirection2,EOTV.HET1.ThrustDirection3,EOTV.EOTVSolarArrays.ThrustPowerAvailable,EOTV.Earth.BetaAngle,EOTV.TotalMass
5.756842608,497391.2013,2935.780909,93,289.1459606,2.050103082,7736.325846,273.9171353,0.010071968,26.43476249,6771.940146,0.903962486,-0.427611768,0,200704.9813,-25.72590039,23431.78091
5.758561782,497539.7379,2935.580928,93,297.1118678,1.758722751,7737.018862,273.9048882,0.010176395,26.4370865,6772.850106,0.835644771,-0.549270259,0,200707.0421,-25.73204638,23431.58093
5.76027699,497687.9319,2935.38141,93,305.0781446,1.551629918,7737.765036,273.8946697,0.01029955,26.43982363,6773.829911,0.769903543,-0.638160274,0,200708.9571,-25.73729413,23431.38141
5.761988834,497835.8353,2935.182282,93,313.0461022,1.47179623,7738.534149,273.8866013,0.010438059,26.44273012,6774.839887,0.712608338,-0.701562083,0,200710.6895,-25.74158638,23431.18228
5.763697858,497983.495,2934.983483,93,321.0165276,1.551519893,7739.293754,273.8806786,0.010585377,26.44554929,6775.837427,0.662232889,-0.749298072,0,200712.2058,-25.74492168,23430.98348
5.765404887,498130.9823,2934.784915,93,328.9913165,1.807926274,7740.009125,273.8767641,0.010732434,26.44802299,6776.776921,0.625435282,-0.780276046,0,200713.477,-25.74735782,23430.78492
5.76711082,498278.3748,2934.586476,93,336.9725594,2.23882016,7740.649168,273.8745677,0.010869179,26.44991877,6777.617525,0.598196929,-0.801349134,0,200714.478,-25.74902091,23430.58648
5.768816482,498425.744,2934.388067,93,344.9618682,2.824705181,7741.185214,273.8736752,0.010985574,26.4510375,6778.321569,0.579662439,-0.81485671,0,200715.1888,-25.75009282,23430.38807
5.770522857,498573.1748,2934.189576,93,352.9614808,3.530949902,7741.595091,273.8735631,0.011073099,26.45123357,6778.85992,0.569162334,-0.822225175,0,200715.5944,-25.75080495,23430.18958
5.772230986,498720.7572,2933.990881,93,360.9738123,4.312134287,7741.86551,273.8736325,0.011125898,26.45042801,6779.215109,0.566307526,-0.824194022,0,200715.6849,-25.75142325,23429.99088
5.773941542,498868.5493,2933.791903,94,8.999468423,5.117158775,7741.993839,273.8732514,0.011141579,26.44861768,6779.383667,0.571017906,-0.820937605,0,200715.4562,-25.75222934,23429.7919
5.775655507,499016.6358,2933.592529,94,17.04042076,5.895406051,7741.989167,273.8718025,0.01112158,26.44587811,6779.377531,0.583529501,-0.812091942,0,200714.9098,-25.75349932,23429.59253
5.777373343,499165.0569,2933.392705,94,25.09614769,6.602440198,7741.872171,273.8687338,0.011070992,26.44236144,6779.223857,0.604386774,-0.796691049,0,200714.0534,-25.7554809,23429.3927
5.779095404,499313.8429,2933.192389,94,33.16556432,7.206100936,7741.67397,273.8636072,0.01099784,26.43828669,6778.963525,0.634404709,-0.773001077,0,200712.9006,-25.75837176,23429.19239
